name,category,keyword,rating,address,detailed_address,kecamatan,desa,latitude,longitude,coordinates_valid,search_location
TK Aisyiah Enrekang,Pendidikan - TK/PAUD,TK,"5,0",Taman Kanak-kanak · CQMF+C49,N/A,N/A,N/A,,,False,Kabupaten Enrekang
TK Islam Terpadu Raudhatul Jannah Cakke,Pendidikan - TK/PAUD,TK,"4,5","Taman Kanak-kanak · HQVX+4WQ, Jl. Poros Enrekang-MakaleTutup ⋅ Buka Sen pukul 07.30 · 0853-9937-3960",N/A,N/A,N/A,,,False,Kabupaten Enrekang
SD Negeri 41 Enrekang,Pendidikan - SD/MI,Sekolah Dasar,N/A,Sekolah Dasar ·  · CQPG+65QTutup ⋅ Buka Sab pukul 06.00,N/A,N/A,N/A,,,False,Kabupaten Enrekang
Madrasah Ibtidaiyah Negeri (MIN) 2 Enrekang Kab. Enrekang,Pendidikan - TK/PAUD,Madrasah Ibtidaiyah,N/A,Sekolah Dasar · Buka 24 jam · 0812-4416-6993,N/A,N/A,N/A,,,False,Kabupaten Enrekang
SMP Negeri 1 Enrekang,Pendidikan - SMP/MTs,Sekolah Menengah Pertama,"4,7",Sekolah Menengah Pertama ·  · Jl. Jenderal Sudirman No.3Buka ⋅ Tutup pukul 15.30 · (0420) 21066,N/A,N/A,N/A,,,False,Kabupaten Enrekang
SMP Negeri 6 Enrekang,Pendidikan - SMP/MTs,Sekolah Menengah Pertama,N/A,Sekolah Menengah Pertama · Segera tutup ⋅ 15.00 ⋅ Buka Sen pukul 07.00,N/A,N/A,N/A,,,False,Kabupaten Enrekang
MTsN 1 Enrekang,Pendidikan - TK/PAUD,Madrasah Tsanawiyah,"4,6","Institusi Pendidikan ·  · HVR4+M7X, Jl. PendidikanBuka ⋅ Tutup pukul 16.30 · (0420) 2311494",N/A,N/A,N/A,,,False,Kabupaten Enrekang
MTsN 2 Enrekang,Pendidikan - TK/PAUD,Madrasah Tsanawiyah,N/A,Sekolah Menengah Pertama · Segera tutup ⋅ 15.00 ⋅ Buka Sab pukul 07.00 · (0420) 2312455,N/A,N/A,N/A,,,False,Kabupaten Enrekang
MTS ULUL ALBAB HIDAYATULLAH SUDU ENREKANG,Pendidikan - SMP/MTs,MTs,"5,0",Pusat Pendidikan · PESANTREN HIDAYATULLAH SUDU Jl. Poros Sudu-Curio Lr. Masjid Al-Muttaqin Tanjung KelBuka 24 jam · 0821-9273-5444,N/A,N/A,Buka 24 Jam · 0821-9273-5444,,,False,Kabupaten Enrekang
SMA Negeri 6 Enrekang,Pendidikan - SMA/MA,Sekolah Menengah Atas,"4,4",Sekolah Menengah Atas · Buka ⋅ Tutup pukul 17.00 · 0853-4353-09507,N/A,N/A,N/A,,,False,Kabupaten Enrekang
SMA NEGERI 7 ENREKANG,Pendidikan - SMA/MA,Sekolah Menengah Atas,N/A,Sekolah Menengah Atas ·  · 9Q3H+JPQSegera tutup ⋅ 15.00 ⋅ Buka Sab pukul 08.30,N/A,N/A,N/A,,,False,Kabupaten Enrekang
SMAN 5 ENREKANG,Pendidikan - SMA/MA,SMA,N/A,Sekolah Menengah Umum · Jl. Kemakmuran No.1Buka ⋅ Tutup pukul 17.00,N/A,N/A,N/A,,,False,Kabupaten Enrekang
Madrasah Aliyah Negeri Enrekang,Pendidikan - TK/PAUD,MA,"5,0",Sekolah Menengah Atas ·  · HVR6+F66(0420) 2311694,N/A,N/A,N/A,,,False,Kabupaten Enrekang
MA Muhammadiyah Enrekang,Pendidikan - SMA/MA,MA,N/A,"Sekolah Menengah Atas · CQMG+3CQ, Jl. Jenderal Sudirman",N/A,N/A,N/A,,,False,Kabupaten Enrekang
Universitas Muhammadiyah Enrekang,Pendidikan - SMA/MA,Universitas,"4,5",Universitas ·  · Jl. Jenderal SudirmanBuka ⋅ Tutup pukul 17.00 · 0813-8063-9777,N/A,N/A,N/A,,,False,Kabupaten Enrekang
SMK Negeri 1 Enrekang,Pendidikan - SMK,Sekolah Menengah Kejuruan,"4,6",Sekolah Menengah Kejuruan · Buka ⋅ Tutup pukul 17.00,N/A,N/A,N/A,,,False,Kabupaten Enrekang
SMK Negeri 2 enrekang,Pendidikan - SMK,Sekolah Menengah Kejuruan,"4,9",Sekolah Menengah Kejuruan ·  · Lamba(0420) 2321664,N/A,N/A,N/A,,,False,Kabupaten Enrekang
Rumah Sakit Umum Daerah (RSUD) Massenrempulu Enrekang,Pendidikan - TK/PAUD,Rumah Sakit,"2,3","Rumah Sakit Umum ·  · CQJG+P2X, JL. Jend SudirmanBuka sekarang · (0420) 22128",N/A,N/A,N/A,,,False,Kabupaten Enrekang
Klinik Pratama Marsya Baraka,Pendidikan - TK/PAUD,Klinik,"5,0","Klinik Kesehatan · Jl. Penghibur No. 3, Baraka KabBuka 24 jam · 0821-9444-2822",N/A,N/A,N/A,,,False,Kabupaten Enrekang
Rumah Sunat Enrekang,Pendidikan - SMA/MA,Klinik,"5,0",Klinik Spesialis · Belajen BaratBuka 24 jam · 0812-3454-0465,N/A,N/A,N/A,,,False,Kabupaten Enrekang
PUSKESMAS Masalle,Pendidikan - SMA/MA,Puskesmas,"4,4",Pusat Kesehatan Masyarakat ·  · MQ73+869Buka 24 jam,N/A,N/A,N/A,,,False,Kabupaten Enrekang
PUSKESMAS Baroko,Pendidikan - SMA/MA,Puskesmas,"4,2",Pusat Kesehatan Masyarakat · PR45+V9XBuka 24 jam,N/A,N/A,N/A,,,False,Kabupaten Enrekang
Apotek Sehat Enrekang,Kesehatan - Apotek,Apotek,"4,8",Apotek · Jl. Kemakmuran No.16Buka ⋅ Tutup pukul 21.00,N/A,N/A,N/A,,,False,Kabupaten Enrekang
Bank Mandiri Enrekang Pasar Sudu,Pendidikan - SMA/MA,Bank Umum Pemerintah,"5,0",Bank · Segera tutup ⋅ 15.00 ⋅ Buka Sen pukul 08.00 · (0420) 2312491,N/A,N/A,N/A,,,False,Kabupaten Enrekang
Bank Syariah Indonesia KCP Enrekang,Keuangan - Bank,Bank Umum Swasta,"4,2",Bank · CQMC+GQ7Buka ⋅ Tutup pukul 16.00,N/A,N/A,N/A,,,False,Kabupaten Enrekang
Bank Mandiri Enrekang Pasar Sudu,Pendidikan - SMA/MA,Bank,"5,0",Bank · Tutup ⋅ Buka Sen pukul 08.00 · (0420) 2312491,N/A,N/A,N/A,,,False,Kabupaten Enrekang
Bank Syariah Indonesia KCP Enrekang,Keuangan - Bank,Bank,"4,2",Bank · CQMC+GQ7Segera tutup ⋅ 16.00 ⋅ Buka Sen pukul 08.00,N/A,N/A,N/A,,,False,Kabupaten Enrekang
Pasar Sentral Enrekang Ok,Pendidikan - TK/PAUD,Pertokoan,"4,1","Pasar ·  · CQMC+J3F, Jl. Pasar SentralTutup ⋅ Buka Sen pukul 06.00",N/A,N/A,N/A,,,False,Kabupaten Enrekang
