address,desa,kecamatan,keyword,latitude,longitude,nama,url
"JL. H.Andi Liu No.01, Cakke, Kec. Anggeraja, Kabupaten Enrekang, Sulawesi Selatan 91752",Cakke,Anggeraja,rumah sakit,-3.5602311,119.7464349,Rumah Sakit Umum Hj. Puang Sabbe,"https://www.google.com/maps/place/Rumah+Sakit+Umum+Hj.+Puang+Sabbe/@-3.5602311,119.7464349,13z/data=!4m10!1m2!2m1!1srumah+sakit+di+kecamatan+Anggeraja+Kabupaten+Enrekang!3m6!1s0x2d94405c8914c8ef:0x85575c769741cab6!8m2!3d-3.4092805!4d119.7989723!15sCjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gQW5nZ2VyYWphIEthYnVwYXRlbiBFbnJla2FuZ1o3IjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gYW5nZ2VyYWphIGthYnVwYXRlbiBlbnJla2FuZ5IBEGdlbmVyYWxfaG9zcGl0YWyaASNDaFpEU1VoTk1HOW5TMFZKUTBGblRVUm5jRFkyYzFGM0VBRaoBeQoIL20vMGhwbnIQASoPIgtydW1haCBzYWtpdCgmMh8QASIbanAOVQDSIBUNrhz61JTbmspFYEmB9n1VhoCtMjkQAiI1cnVtYWggc2FraXQgZGkga2VjYW1hdGFuIGFuZ2dlcmFqYSBrYWJ1cGF0ZW4gZW5yZWthbmfgAQD6AQQIABA7!16s%2Fg%2F1pzs1zs04?hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
"CQJG+P2X, JL. Jend Sudirman, Galonta, Kec. Enrekang, Kabupaten Enrekang, Sulawesi Selatan 91711",Galonta,Enrekang,rumah sakit,-3.5681457,119.775118,Rumah Sakit Umum Daerah (RSUD) Massenrempulu Enrekang,"https://www.google.com/maps/place/Rumah+Sakit+Umum+Daerah+(RSUD)+Massenrempulu+Enrekang/@-3.5681457,119.775118,17z/data=!3m1!4b1!4m6!3m5!1s0x2d94408e45251899:0xd62d3e9be4cc510d!8m2!3d-3.5681457!4d119.775118!16s%2Fg%2F1pzrwfgm7?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
"FRM4+QCR, Tokkonan, Kec. Enrekang, Kabupaten Enrekang, Sulawesi Selatan 91752",Tokkonan,Enrekang,rumah sakit,-3.5681457,119.7560636,Puskesdes,"https://www.google.com/maps/place/Puskesdes/@-3.5681457,119.7560636,15z/data=!4m10!1m2!2m1!1srumah+sakit+di+kecamatan+Anggeraja+Kabupaten+Enrekang!3m6!1s0x2d94159620ae4819:0x8d1eec0f738ea2f!8m2!3d-3.515511!4d119.8060051!15sCjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gQW5nZ2VyYWphIEthYnVwYXRlbiBFbnJla2FuZ5IBCGhvc3BpdGFsqgF5CggvbS8waHBuchABKg8iC3J1bWFoIHNha2l0KCYyHxABIhtqcA5VANIgFQ2uHPrUlNuaykVgSYH2fVWGgK0yORACIjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gYW5nZ2VyYWphIGthYnVwYXRlbiBlbnJla2FuZ-ABAA!16s%2Fg%2F11h93ln3nx?hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
"jln ir juanda no 132 cakke, Lakawan, Kec. Anggeraja, Kabupaten Enrekang, Sulawesi Selatan 91752",Lakawan,Anggeraja,rumah sakit,-3.515511,119.7869507,Laboratorium Klinik Syifa,"https://www.google.com/maps/place/Laboratorium+Klinik+Syifa/@-3.515511,119.7869507,15z/data=!4m10!1m2!2m1!1srumah+sakit+di+kecamatan+Anggeraja+Kabupaten+Enrekang!3m6!1s0x2d94130ebf51f819:0x214922c5ea928f3b!8m2!3d-3.4100329!4d119.800543!15sCjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gQW5nZ2VyYWphIEthYnVwYXRlbiBFbnJla2FuZ5IBCGhvc3BpdGFsqgF5CggvbS8waHBuchABKg8iC3J1bWFoIHNha2l0KCYyHxABIhtqcA5VANIgFQ2uHPrUlNuaykVgSYH2fVWGgK0yORACIjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gYW5nZ2VyYWphIGthYnVwYXRlbiBlbnJla2FuZ-ABAA!16s%2Fg%2F11h7d6d6dv?hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
"HQ6F+R2C, Siambo, Kec. Anggeraja, Kabupaten Enrekang, Sulawesi Selatan 91752",Siambo,Anggeraja,rumah sakit,-3.4100329,119.7814886,Pustu Desa Siambo,"https://www.google.com/maps/place/Pustu+Desa+Siambo/@-3.4100329,119.7814886,15z/data=!4m10!1m2!2m1!1srumah+sakit+di+kecamatan+Anggeraja+Kabupaten+Enrekang!3m6!1s0x2d946d001f6ed0e1:0xe6bc1a4adef74fd2!8m2!3d-3.4379751!4d119.7725358!15sCjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gQW5nZ2VyYWphIEthYnVwYXRlbiBFbnJla2FuZ5IBCGhvc3BpdGFsqgF5CggvbS8waHBuchABKg8iC3J1bWFoIHNha2l0KCYyHxABIhtqcA5VANIgFQ2uHPrUlNuaykVgSYH2fVWGgK0yORACIjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gYW5nZ2VyYWphIGthYnVwYXRlbiBlbnJla2FuZ-ABAA!16s%2Fg%2F11mdb6w9l8?hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
"CQJG+W27, Galonta, Kec. Enrekang, Kabupaten Enrekang, Sulawesi Selatan 91711",Galonta,Enrekang,rumah sakit,-3.4379751,119.7534814,Unit Gawat Darurat (UGD) RSUM,"https://www.google.com/maps/place/Unit+Gawat+Darurat+(UGD)+RSUM/@-3.4379751,119.7534814,15z/data=!4m10!1m2!2m1!1srumah+sakit+di+kecamatan+Anggeraja+Kabupaten+Enrekang!3m6!1s0x2d9441ab47bb3e1d:0x44fa53562c38bc1!8m2!3d-3.5677104!4d119.7750356!15sCjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gQW5nZ2VyYWphIEthYnVwYXRlbiBFbnJla2FuZ5IBCGhvc3BpdGFsqgF5CggvbS8waHBuchABKg8iC3J1bWFoIHNha2l0KCYyHxABIhtqcA5VANIgFQ2uHPrUlNuaykVgSYH2fVWGgK0yORACIjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gYW5nZ2VyYWphIGthYnVwYXRlbiBlbnJla2FuZ-ABAA!16s%2Fg%2F11gjtv3w3d?hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
"Cakke, Jl. Atlanta No.6, Kec. Anggeraja, Kabupaten Enrekang, Sulawesi Selatan 91711",Jl. Atlanta No.6,Anggeraja,rumah sakit,-3.5677104,119.7559812,PUSKESMAS Anggeraja,"https://www.google.com/maps/place/PUSKESMAS+Anggeraja/@-3.5677104,119.7559812,15z/data=!4m10!1m2!2m1!1srumah+sakit+di+kecamatan+Anggeraja+Kabupaten+Enrekang!3m6!1s0x2d94405cbe0d5c65:0xc15a88809ae84377!8m2!3d-3.4095268!4d119.8001228!15sCjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gQW5nZ2VyYWphIEthYnVwYXRlbiBFbnJla2FuZ1o3IjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gYW5nZ2VyYWphIGthYnVwYXRlbiBlbnJla2FuZ5IBFXB1YmxpY19tZWRpY2FsX2NlbnRlcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSd01UZFFaRGRuUlJBQqoBeQoIL20vMGhwbnIQASoPIgtydW1haCBzYWtpdCgmMh8QASIbanAOVQDSIBUNrhz61JTbmspFYEmB9n1VhoCtMjkQAiI1cnVtYWggc2FraXQgZGkga2VjYW1hdGFuIGFuZ2dlcmFqYSBrYWJ1cGF0ZW4gZW5yZWthbmfgAQD6AQQIABAe!16s%2Fg%2F1pzx3brqy?hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
"JRRJ+RVQ, Jln poros Dusun bolang-bibang, desa, Bolang, Kec. Alla, Kabupaten Enrekang, Sulawesi Selatan 91754",Bolang,Alla,rumah sakit,-3.4095268,119.7810684,POSTU DESA BOLANG,"https://www.google.com/maps/place/POSTU+DESA+BOLANG/@-3.4095268,119.7810684,15z/data=!4m10!1m2!2m1!1srumah+sakit+di+kecamatan+Anggeraja+Kabupaten+Enrekang!3m6!1s0x2d940d6a783691e1:0x54609fe5b8a8f85f!8m2!3d-3.3579168!4d119.8322417!15sCjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gQW5nZ2VyYWphIEthYnVwYXRlbiBFbnJla2FuZ1o3IjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gYW5nZ2VyYWphIGthYnVwYXRlbiBlbnJla2FuZ5IBCGhvc3BpdGFsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5UVVJCYWpoVFJFaFJFQUWqAXkKCC9tLzBocG5yEAEqDyILcnVtYWggc2FraXQoJjIfEAEiG2pwDlUA0iAVDa4c-tSU25rKRWBJgfZ9VYaArTI5EAIiNXJ1bWFoIHNha2l0IGRpIGtlY2FtYXRhbiBhbmdnZXJhamEga2FidXBhdGVuIGVucmVrYW5n4AEA-gEECAAQHA!16s%2Fg%2F11ky3xsvzr?hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
"JQ8X+VGQ, Bubun Lamba, Kec. Anggeraja, Kabupaten Enrekang, Sulawesi Selatan",Bubun Lamba,Anggeraja,rumah sakit,-3.3579168,119.8131873,PUSTU BUBUN LAMBA,"https://www.google.com/maps/place/PUSTU+BUBUN+LAMBA/@-3.3579168,119.8131873,15z/data=!4m10!1m2!2m1!1srumah+sakit+di+kecamatan+Anggeraja+Kabupaten+Enrekang!3m6!1s0x2d940d006c37eb77:0x38674cb98ceecd6b!8m2!3d-3.382798!4d119.798854!15sCjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gQW5nZ2VyYWphIEthYnVwYXRlbiBFbnJla2FuZ5IBCGhvc3BpdGFsqgF5CggvbS8waHBuchABKg8iC3J1bWFoIHNha2l0KCYyHxABIhtqcA5VANIgFQ2uHPrUlNuaykVgSYH2fVWGgK0yORACIjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gYW5nZ2VyYWphIGthYnVwYXRlbiBlbnJla2FuZ-ABAA!16s%2Fg%2F11lctp9gs0?hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
"Puserren, Kec. Enrekang, Kabupaten Enrekang, Sulawesi Selatan 91711",Puserren,Enrekang,rumah sakit,-3.382798,119.7797996,KLINIK PRATAMA POSKES ENREKANG,"https://www.google.com/maps/place/KLINIK+PRATAMA+POSKES+ENREKANG/@-3.382798,119.7797996,15z/data=!4m10!1m2!2m1!1srumah+sakit+di+kecamatan+Anggeraja+Kabupaten+Enrekang!3m6!1s0x2d944122226a9541:0xab11d9bdda5d08d2!8m2!3d-3.554935!4d119.7847328!15sCjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gQW5nZ2VyYWphIEthYnVwYXRlbiBFbnJla2FuZ5IBCGhvc3BpdGFsqgF5CggvbS8waHBuchABKg8iC3J1bWFoIHNha2l0KCYyHxABIhtqcA5VANIgFQ2uHPrUlNuaykVgSYH2fVWGgK0yORACIjVydW1haCBzYWtpdCBkaSBrZWNhbWF0YW4gYW5nZ2VyYWphIGthYnVwYXRlbiBlbnJla2FuZ-ABAA!16s%2Fg%2F11h_t5zq6g?hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D"
